Metric,Year and Month,Statistical value
Labor Productivity Index(Base Period:2016=100),2016 JUL,-
Labor Productivity Index(Base Period:2016=100),2016 AUG,-
Labor Productivity Index(Base Period:2016=100),2016 SEP,-
Labor Productivity Index(Base Period:2016=100),2016 OCT,-
Labor Productivity Index(Base Period:2016=100),2016 NOV,-
Labor Productivity Index(Base Period:2016=100),2016 DEC,-
Labor Productivity Index(Base Period:2016=100),2017 JAN,-
Labor Productivity Index(Base Period:2016=100),2017 FEB,-
Labor Productivity Index(Base Period:2016=100),2017 MAR,-
Labor Productivity Index(Base Period:2016=100),2017 APR,-
Labor Productivity Index(Base Period:2016=100),2017 MAY,-
Labor Productivity Index(Base Period:2016=100),2017 JUN,-
Labor Productivity Index(Base Period:2016=100),2017 JUL,-
Labor Productivity Index(Base Period:2016=100),2017 AUG,-
Labor Productivity Index(Base Period:2016=100),2017 SEP,-
Labor Productivity Index(Base Period:2016=100),2017 OCT,-
Labor Productivity Index(Base Period:2016=100),2017 NOV,-
Labor Productivity Index(Base Period:2016=100),2017 DEC,-
Labor Productivity Index(Base Period:2016=100),2018 JAN,-
Labor Productivity Index(Base Period:2016=100),2018 FEB,-
Labor Productivity Index(Base Period:2016=100),2018 MAR,-
Labor Productivity Index(Base Period:2016=100),2018 APR,-
Labor Productivity Index(Base Period:2016=100),2018 MAY,-
Labor Productivity Index(Base Period:2016=100),2018 JUN,-
Labor Productivity Index(Base Period:2016=100),2018 JUL,-
Labor Productivity Index(Base Period:2016=100),2018 AUG,-
Labor Productivity Index(Base Period:2016=100),2018 SEP,-
Labor Productivity Index(Base Period:2016=100),2018 OCT,-
Labor Productivity Index(Base Period:2016=100),2018 NOV,-
Labor Productivity Index(Base Period:2016=100),2018 DEC,-
Labor Productivity Index(Base Period:2016=100),2019 JAN,-
Labor Productivity Index(Base Period:2016=100),2019 FEB,-
Labor Productivity Index(Base Period:2016=100),2019 MAR,-
Labor Productivity Index(Base Period:2016=100),2019 APR,-
Labor Productivity Index(Base Period:2016=100),2019 MAY,-
Labor Productivity Index(Base Period:2016=100),2019 JUN,-
Labor Productivity Index(Base Period:2016=100),2019 JUL,-
Labor Productivity Index(Base Period:2016=100),2019 AUG,-
Labor Productivity Index(Base Period:2016=100),2019 SEP,-
Labor Productivity Index(Base Period:2016=100),2019 OCT,-
Labor Productivity Index(Base Period:2016=100),2019 NOV,-
Labor Productivity Index(Base Period:2016=100),2019 DEC,-
Labor Productivity Index(Base Period:2016=100),2020 JAN,-
